f = Friend,All Friend,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12,Team 13,Team 14,Team 15,Team 16
Team 0: All Friend,f,x,,,,,,,,,,,,,,,
Team 1: Frodo,f,f,x,,,,,,,,,,,,,,
Wraith Spawn Points,f,ENEMY,f,x,,,,,,,,,,,,,
Ring Wraiths,f,ENEMY,f,f,x,,,,,,,,,,,,
Team 4: Ring Wraith,f,ENEMY,ENEMY,ENEMY,f,x,,,,,,,,,,,
Team 5: Ring Wraith,f,ENEMY,ENEMY,ENEMY,ENEMY,f,x,,,,,,,,,,
Team 6: Ring Wraith,f,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,f,x,,,,,,,,,
Team 7: Ring Wraith,f,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,f,x,,,,,,,,
Team 8: Ring Wraith,f,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,f,x,,,,,,,
Team 9: Ring Wraith,f,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,f,x,,,,,,
Team 10: Ring Wraith,f,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,f,x,,,,,
Team 11: Ring Wraith,f,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,f,x,,,,
Team 12: Ring Wraith,f,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,f,x,,,
Team 13: Ring Wraith,f,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,f,x,,
Team 14: Ring Wraith,f,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,f,x,
Team 15: Ring Wraith,f,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,f,x,,,,,,,,,,,,,,,
Team 16: Ring Wraith,f,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,f,x,,,,,,,,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x
Team 31: All Enemy,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY
