EventName,Param1,Param2,Param3,Param4,…
impact,collision_material_self,collision_material_nearobj,,,
damage_received,self_type,self_race,incoming_attack_type,,
damage_blocked,self_type,self_race,incoming_attack_type,,
footstep_run,self_type,ground_material,,,
footstep_trot,self_type,ground_material,,,
footstep_walk,self_type,ground_material,,,
GrandViper_Start,,,,,
GrandViper_Slide,,,,,
YSNP,,,,,
MageAttack_hard,,,,,
MageJumpAttack_hard,,,,,
MouthSummon_HandFX,,,,,
ScoutBreaker_Bomb,,,,,
projectile_hit,collision_material_nearobj,,,,
projectile_blocked,collision_material_nearobj,,,,
Disconnected,,,,,
Death,,,,,
