Name,Radius,Length,IgniteRateCold,IgniteRateSmoking,IgniteRateBurning,DampenRateCold,DampenRateSmoking,DampenRateBurning,SmokingFireLevel,BurningFireLevel,SmokingEffect,BurningEffect,IsDamageNode
CatapultWheel,0.53,0.22,25,25,25,5,10,8,33,66,none,VHFX_CatapultWheel_Burn,FALSE
CatapultX,0.2,3.82,12,12,12,5,10,8,33,66,none,VHFX_CatapultX_Burn,FALSE
CatapultSmall,0.2,1.51,20,20,20,5,10,8,33,66,none,VHFX_CatapultSmall_Burn,FALSE
CatapultZ,0.2,2.82,15,15,15,5,10,8,33,66,none,VHFX_CatapultZ_Burn,FALSE
CatapultY,0.2,4.5,10,10,10,5,10,8,33,66,none,VHFX_CatapultY_Burn,FALSE
CatapultMast,0.2,6,5,5,5,5,10,8,33,66,none,VHFX_CatapultMast_Burn,FALSE
OliphantFire,3,3,25,10,25,5,10,8,20,80,none,VHFX_OliphantCanopy_Burn,FALSE
MorPRS01A,0.25,3.5,20,20,20,5,10,8,33,66,none,PRFX_MorPRS01A_Burn,FALSE
MorPRS01B,0.25,7.5,20,20,20,5,10,8,33,66,none,PRFX_MorPRS01B_Burn,FALSE
MorPRS02A,0.25,7.5,20,20,20,5,10,8,33,66,none,PRFX_MorPRS01B_Burn,FALSE
MorPRS02B,0.25,3,20,20,20,5,10,8,33,66,none,PRFX_MorPRS02B_Burn,FALSE
MorPRS03A,0.4,5.5,20,20,20,5,10,8,33,66,none,PRFX_MorPRS03A_Burn,FALSE
MorPRS03B,0.4,10.5,20,20,20,5,10,8,33,66,none,PRFX_MorPRS03B_Burn,FALSE
GdrPal01B,1,4.5,20,20,20,5,10,8,33,66,none,PRFX_GdrPal01B_Burn,FALSE
GdrBar01A,2.5,0.2,20,20,20,5,10,8,33,66,none,PRFX_GdrBar01A_Burn,FALSE
GdrShPal01B,1.6,0.2,20,20,20,5,10,8,33,66,none,PRFX_GdrShPal01B_Burn,FALSE
OrcBar01A,3,0.2,20,20,20,5,10,8,33,66,none,PRFX_OrcBar01A_Burn,FALSE
OrcShPal01B,1.5,0.2,20,20,20,5,10,8,33,66,none,PRFX_OrcShPal01B_Burn,FALSE
OrcPal01A,0.1,2,20,20,20,5,10,8,33,66,none,PRFX_OrcPal01A_Burn,FALSE
OrcPal01B,0.1,3.8,20,20,20,5,10,8,33,66,none,PRFX_OrcPal01B_Burn,FALSE
RohShPal01A,1.2,0.1,20,20,20,5,10,8,33,66,none,PRFX_RohShPal01A_Burn,FALSE
OrcSgt01A,3.7,0.6,20,20,20,5,10,8,33,66,none,VHFX_OrcSgt01A_Burn,FALSE
OrcSgt01B,2,0.6,20,20,20,5,10,8,33,66,none,VHFX_OrcSgt01B_Burn,FALSE
OrcSgt01C,4.2,0.6,20,20,20,5,10,8,33,66,none,VHFX_OrcSgt01C_Burn,FALSE
OrcSgt03A,0.2,2.7,20,20,20,5,10,8,33,66,none,VHFX_OrcSgt03A_Burn,FALSE
OrcSgt03B,0.2,5,20,20,20,5,10,8,33,66,none,VHFX_OrcSgt03B_Burn,FALSE
OrcSgt03C,2.8,0.3,20,20,20,5,10,8,33,66,none,VHFX_OrcSgt03C_Burn,FALSE
OrcSgt03D,0.4,4,20,20,20,5,10,8,33,66,none,VHFX_OrcSgt03D_Burn,FALSE
WpGdrBal01B,0.1,1.6,20,20,20,5,10,8,33,66,none,WPFX_WpGdrBal01B_Burn,FALSE
WpGdrBal01C,0.2,1.6,20,20,20,5,10,8,33,66,none,WPFX_WpGdrBal01C_Burn,FALSE
UrkLadSm01A,0.6,10.7,20,20,20,5,10,8,33,66,none,WPFX_UrkLadSm01A_Burn,FALSE
igd_WchTwr01A,0.2,10,20,20,20,5,10,8,33,66,none,PRFX_igd_WchTwr01A_Burn,FALSE
igd_WchTwr01B,2.5,0.2,20,20,20,5,10,8,33,66,none,PRFX_igd_WchTwr01B_Burn,FALSE
igd_WchTwr02A,0.2,12.5,20,20,20,5,10,8,33,66,none,PRFX_igd_WchTwr02A_Burn,FALSE
igd_WchTwr02B,2.5,0.2,20,20,20,5,10,8,33,66,none,PRFX_igd_WchTwr02B_Burn,FALSE
igd_WchTwr03A,0.3,12.5,20,20,20,5,10,8,33,66,none,PRFX_igd_WchTwr03A_Burn,FALSE
igd_WchTwr03B,4,0.2,20,20,20,5,10,8,33,66,none,PRFX_igd_WchTwr03B_Burn,FALSE
igd_WchTwr04A,0.2,8,20,20,20,5,10,8,33,66,none,PRFX_igd_WchTwr04A_Burn,FALSE
igd_WchTwr04B,2.5,0.2,20,20,20,5,10,8,33,66,none,PRFX_igd_WchTwr04B_Burn,FALSE
IgdPrCtrMch01A,2.5,2,20,20,20,5,10,8,33,66,none,PRFX_IgdPrCtrMch01A_Burn,FALSE
IgdPrCtrMch01B,0.6,5.7,20,20,20,5,10,8,33,66,none,PRFX_IgdPrCtrMch01B_Burn,FALSE
IgdPrCtrMch01C,0.6,8.5,20,20,20,5,10,8,33,66,none,PRFX_IgdPrCtrMch01C_Burn,FALSE
RvdPrBkCs01A,3.5,0.75,20,20,20,5,10,8,33,66,none,PRFX_RvdPrBkCs01A_Burn,FALSE
ShrWdPstFncA,0.5,3,20,20,20,5,10,8,33,66,none,PRFX_ShrWdPstFncA_Burn,FALSE
ShrWdPstFncC,0.5,1.5,20,20,20,5,10,8,33,66,none,PRFX_ShrWdPstFncC_Burn,FALSE
ShrBlMkSt01A,1.5,6.5,20,20,20,5,10,8,33,66,none,PRFX_ShrBlMkSt01A_Burn,FALSE
IgdPrDrwBr01A,0.2,25,20,20,20,5,10,8,33,66,none,PRFX_IgdPrDrwBr01A_Burn,FALSE
IgdPrDrwBr01B,0.2,13,20,20,20,5,10,8,33,66,none,PRFX_IgdPrDrwBr01B_Burn,FALSE
IgdPrDrwBr01D,4.2,0.2,20,20,20,5,10,8,33,66,none,PRFX_IgdPrDrwBr01D_Burn,FALSE
WhiteTree01A,0.4,3,20,20,20,5,10,8,33,66,none,PRFX_WhiteTree01A_Burn,FALSE
WhiteTree01B,0.2,1.8,20,20,20,5,10,8,33,66,none,PRFX_WhiteTree01B_Burn,FALSE
GdrBatRam01A,1,7.7,20,20,20,5,10,8,33,66,none,VHFX_GdrBatRam01A_Burn,FALSE
GdrBatRam01B,1,3.5,20,20,20,5,10,8,33,66,none,VHFX_GdrBatRam01B_Burn,FALSE
ElfBdPal01A,3.5,0.2,20,20,20,5,10,8,33,66,none,PRFX_ElfBdPal01A_Burn,FALSE
ShrBlFrm02A,5.2,5.2,20,20,20,5,10,8,33,66,none,PRFX_ShrBlFrm02A_Burn,FALSE
ShrBlFrm02B,0.1,0.1,20,20,20,5,10,8,33,66,none,PRFX_ShrBlFrm02B_Burn,FALSE
ShrBlHbtHm01A,4,0.2,20,20,20,5,10,8,33,66,none,PRFX_ShrBlHbtHm01A_Burn,FALSE
ShrBlHbtHm01B,2.5,0.2,20,20,20,5,10,8,33,66,none,PRFX_ShrBlHbtHm01B_Burn,FALSE
ShrBlHbtHm02A,3,0.2,20,20,20,5,10,8,33,66,none,PRFX_ShrBlHbtHm01B_Burn,FALSE
CH_ent_A,0.3,1.25,20,20,20,5,10,8,33,66,none,CHFX_CH_ent_A_Burn,FALSE
CH_ent_B,0.2,1.5,20,20,20,5,10,8,33,66,none,CHFX_CH_ent_B_Burn,FALSE
CH_ent_C,0.2,1,20,20,20,5,10,8,33,66,none,CHFX_CH_ent_C_Burn,FALSE
OrcPrPal01A,0.7,3.5,20,20,20,5,10,8,33,66,none,PRFX_OrcPal01A_Burn,FALSE
GdrTent,5,3,20,20,20,5,10,8,33,66,none,PRFX_GdrTent_Burn,FALSE
p_shr_bl_02_fire,4,0.2,20,20,20,5,10,8,33,66,none,PRFX_ShrBlHbtHm01A_Burn,FALSE
p_shr_bl_02_fire1,2.5,0.2,20,20,20,5,10,8,33,66,none,PRFX_ShrBlHbtHm01B_Burn,FALSE
